n_of_reviews,avg_review_rating,avg_days_between_reviews,max_days_between_reviews,min_days_between_reviews,product_ID,cluster_ID,pagerank,eigenvector_cent,clustering_coef,w_degree,fake_score,fake,trust_score
677,4.406203840472673,4.374260355029583,81.0,0.0,13365,7,0.0029309402862094,1.0,0.3544303797468354,2106.0,0.83,1,0.0
697,4.4103299856527975,4.172413793103438,79.0,0.0,42501,7,0.0029220747456479,0.9963015518541706,0.3521604938271604,2097.0,0.82,1,0.0
125,4.488,25.572580645161285,394.0,0.0,4404,11,0.0004608266269092,0.9998178027510636,0.4,245.0,0.74,1,3.8000000000000034
240,4.5,13.267782426778242,394.0,0.0,7191,11,0.0004872667793813,1.0,0.4,250.0,0.7,1,9.000000000000007
206,4.37378640776699,15.331707317073173,1943.0,0.0,40866,17,0.0108267764197697,1.0,0.3333333333333333,203.0,0.7,1,7.543689320388358
615,4.634146341463414,6.172638436482083,423.0,0.0,6232,19,0.0640643396769925,0.6488001660381814,0.9333333333333332,764.0,0.69,1,2.0073170731707446
196,4.38265306122449,15.66153846153846,1943.0,0.0,11527,17,0.0108267764198114,1.0,0.3333333333333333,203.0,0.68,1,10.069387755102033
811,4.590628853267571,2.716049382716041,199.0,0.0,60821,19,0.0881027644386678,0.8868684743881929,0.9333333333333332,1101.0,0.68,1,1.6123304562268626
265,4.079245283018868,12.909090909090905,906.0,0.0,6158,10,0.0067218587525525,0.0880319289566471,0.3529411764705882,305.0,0.66,1,14.19999999999999
292,4.078767123287672,13.1340206185567,906.0,0.0,18649,10,0.0066384327186649,0.0906408561743698,0.3809523809523809,304.0,0.66,1,14.19999999999999
403,4.399503722084368,5.126865671641783,272.0,0.0,25255,19,0.0727962726510026,0.7245108190390923,0.9333333333333332,884.0,0.66,1,2.6615384615384485
124,4.112903225806452,24.16260162601626,1106.0,0.0,5616,4,0.0030539064394391,0.9998463976387032,0.2857142857142857,248.0,0.65,1,15.499999999999991
264,3.935606060606061,15.669201520912546,674.0,0.0,7471,16,0.0017040643847318,1.0,0.2424242424242424,285.0,0.65,1,14.363636363636356
952,4.567226890756302,0.960042060988426,27.0,0.0,51480,19,0.1000963293946757,1.0,0.9333333333333332,1276.0,0.65,1,6.203781512605033
446,4.468609865470852,2.685393258426956,189.0,0.0,46121,19,0.0781255533089695,0.7968095814891878,0.9333333333333332,969.0,0.64,1,2.0017937219730886
238,4.092436974789916,12.540084388185647,1106.0,0.0,7346,4,0.0032598928444096,1.0,0.2857142857142857,254.0,0.63,1,18.099999999999994
77,4.831168831168832,2.894736842105255,37.0,0.0,46486,18,7.394846552243869e-05,6.140136783580501e-07,0.2761904761904762,15.0,0.63,1,18.099999999999994
427,3.772833723653396,1.7535211267605555,43.0,0.0,62828,19,0.0722249863793838,0.7369302817598067,1.0,894.0,0.63,1,14.938407494145189
87,4.195402298850575,12.023255813953485,55.0,0.0,46769,9,0.0001694542699231,9.716443407233645e-07,0.04,28.0,0.1,0,87.0
160,4.25,9.0,66.0,0.0,18442,9,0.0001197868940041,1.3292783259375268e-08,0.0457516339869281,18.0,0.06,0,92.2
392,4.303571428571429,11.012787723785165,926.0,0.0,2612,4,0.0014182571925224,8.550783356510704e-07,0.025,18.0,0.17,0,76.75204081632653
80,4.9,34.0,369.0,0.0,7918,11,0.0003071675608036,7.608646243067634e-09,0.1212121212121212,30.0,0.18,0,76.6
370,4.424324324324324,2.0460704607046063,31.0,0.0,63183,1,0.0001529266064937,4.229983441722125e-05,0.0303591262495372,77.0,0.11,0,85.29459459459459
427,4.622950819672131,2.2370892018779283,23.0,0.0,57458,1,0.0001554647507653,1.7924333034656026e-06,0.0243090243090243,79.0,0.12,0,82.64355971896956
115,3.704347826086957,21.0438596491228,301.0,0.0,3675,6,0.0002780651358075,9.363714076980076e-07,0.051207729468599,50.0,0.06,0,92.2
119,4.714285714285714,23.661016949152536,197.0,0.0,11433,18,7.744096945212734e-05,4.930397754219184e-08,0.0571428571428571,16.0,0.06,0,92.2
93,4.67741935483871,9.02173913043478,54.0,0.0,63232,18,0.0001086824407854,4.096123913610724e-08,0.0253623188405797,24.0,0.13,0,79.8741935483871
93,3.849462365591398,34.27173913043478,449.0,0.0,12650,0,0.0002370400652255,2.12951654024724e-10,0.0,6.0,0.08,0,89.60000000000001
746,4.615281501340482,1.0953020134228124,15.0,0.0,63884,3,0.0003395405048465,9.30865339293859e-06,0.0698637226151457,206.0,0.16,0,77.79249329758713
53,2.660377358490566,36.07692307692308,173.0,0.0,16079,14,0.0004943587985101,5.438960378891886e-18,0.0,2.0,0.13,0,83.1
166,4.048192771084337,13.012121212121205,225.0,0.0,8960,6,0.0003177884885363,7.446915998917795e-07,0.3386243386243386,60.0,0.18,0,76.6
86,4.395348837209302,18.682352941176468,226.0,0.0,24874,11,0.0001479122208386,1.5020860059955178e-11,0.0606060606060606,12.0,0.07,0,90.9
490,4.416326530612245,4.087934560327188,97.0,0.0,27361,3,0.0003568912996545,4.645851119148772e-06,0.0756293903502025,222.0,0.08,0,89.2938775510204
651,4.221198156682028,3.833846153846146,115.0,0.0,18955,3,0.0003712422325904,6.691023256699068e-06,0.0804765701124988,233.0,0.1,0,86.07834101382488
97,4.474226804123711,25.572916666666668,469.0,0.0,17305,16,0.0003020753047278,4.283213241675556e-09,0.0363636363636363,13.0,0.11,0,85.7
475,3.84,8.196202531645568,87.0,0.0,5966,3,0.000310270274176,4.463097196814613e-06,0.0763052208835341,188.0,0.08,0,85.49473684210527
143,4.699300699300699,11.880281690140844,150.0,0.0,9514,1,0.0001861568981443,4.3157157927283976e-05,0.031578947368421,97.0,0.07,0,90.9
68,3.588235294117647,13.31343283582089,147.0,0.0,57778,5,7.000501141621715e-05,7.755731890813417e-09,0.0,5.0,0.14,0,79.59411764705881
107,3.616822429906542,16.698113207547163,300.0,0.0,28125,6,0.000222605986618,3.132916585131929e-07,0.0645645645645645,37.0,0.07,0,88.096261682243
115,4.460869565217391,7.78070175438596,191.0,0.0,53585,18,0.0001140294710968,6.466344946550166e-07,0.1076923076923077,26.0,0.06,0,92.2
109,4.211009174311927,24.89814814814815,1301.0,0.0,16274,17,0.0010222656522648,3.5171540995289728e-15,0.0,1.0,0.13,0,80.34770642201835
56,4.517857142857143,18.236363636363635,122.0,0.0,36902,18,2.7697410297664885e-05,6.686414628330274e-09,0.0,3.0,0.09,0,88.3
236,3.8983050847457625,13.459574468085105,556.0,0.0,7477,16,0.0006186987467421,3.549574647558412e-07,0.0857142857142857,30.0,0.08,0,89.60000000000001
100,3.58,44.83838383838384,540.0,0.0,3006,0,0.0003445473488488,6.108329646506574e-12,0.0714285714285714,10.0,0.09,0,85.3
91,3.5824175824175826,15.9,122.0,0.0,34353,5,0.0001657998119541,2.170640376302037e-07,0.0166666666666666,17.0,0.07,0,90.9
81,3.9876543209876543,10.3375,86.0,0.0,44858,9,9.570639152059507e-05,9.602487776816454e-09,0.0109890109890109,14.0,0.11,0,85.7
64,4.34375,21.587301587301585,354.0,0.0,40535,11,0.0001294769230817,9.455967928769434e-10,0.0222222222222222,10.0,0.13,0,83.1
58,4.775862068965517,31.82456140350877,190.0,0.0,29052,18,4.628446093710544e-05,2.1629678276607343e-08,0.0,8.0,0.16,0,79.2
101,4.623762376237623,16.71,245.0,0.0,30107,11,9.409640453061312e-05,9.706620752067404e-10,0.1428571428571428,7.0,0.08,0,88.11485148514852
325,4.6984615384615385,4.910493827160487,61.0,0.0,34041,1,0.0001611919174261,2.150144438905664e-06,0.0284938941655359,81.0,0.06,0,90.35384615384615
100,4.63,20.131313131313124,202.0,0.0,15581,18,9.769761382699852e-05,8.99130463656833e-08,0.0,21.0,0.09,0,88.3
92,3.630434782608696,21.208791208791204,291.0,0.0,17448,0,0.0003213627238681,3.117765514999705e-12,0.0,8.0,0.08,0,87.9695652173913
63,3.8253968253968256,19.790322580645164,92.0,0.0,43525,9,7.932129650766683e-05,7.829128845741983e-09,0.0909090909090909,11.0,0.18,0,74.21904761904761
128,4.25,15.976377952755902,134.0,0.0,27408,12,0.0001520303565531,5.393345609667421e-06,0.1095890410958904,97.0,0.08,0,89.60000000000001
85,4.117647058823529,13.09523809523809,141.0,0.0,51189,9,0.0001054750514803,1.885106283644751e-08,0.0285714285714285,15.0,0.06,0,90.43529411764706
71,4.774647887323944,45.65714285714286,667.0,0.0,10957,16,0.0002453301758474,1.689585823982088e-07,0.1071428571428571,10.0,0.14,0,79.68732394366197
204,4.553921568627451,11.679802955665023,214.0,0.0,18534,6,0.0001986725867608,7.46620797043672e-06,0.0378787878787878,33.0,0.03,0,96.1
108,4.583333333333333,15.205607476635508,108.0,0.0,30948,1,9.984953450420863e-05,9.357075425897812e-07,0.0686868686868686,46.0,0.1,0,87.0
66,3.575757575757576,68.24615384615385,642.0,0.0,2525,16,0.0001263366425439,2.749613199526409e-09,0.0,4.0,0.16,0,76.92727272727272
116,3.896551724137931,28.713043478260868,372.0,0.0,12208,0,0.0003716816264982,2.1227278956095319e-10,0.0833333333333333,9.0,0.08,0,85.72068965517241
111,3.765765765765766,9.4,135.0,0.0,50700,5,0.0002073582225045,3.9914244748861536e-05,0.0389610389610389,22.0,0.06,0,92.2
95,4.863157894736842,16.0531914893617,221.0,0.0,36654,6,0.0001739823490401,4.880072630521375e-07,0.1076923076923077,28.0,0.13,0,81.52105263157895
363,3.327823691460055,5.859116022099444,68.0,0.0,24716,3,0.0004178715300113,3.814777987637076e-06,0.1156204288693162,273.0,0.15,0,75.12809917355372
68,3.852941176470588,11.417910447761193,83.0,0.0,32937,9,9.301080398198734e-05,5.2672634462603195e-09,0.0909090909090909,14.0,0.14,0,81.8
71,4.47887323943662,9.9,46.0,0.0,62447,18,0.0001030779541121,1.0022559494091716e-07,0.0237154150197628,24.0,0.15,0,80.5
155,3.8,5.487012987012986,50.0,0.0,56849,1,0.0001560452168533,2.7389317712365203e-06,0.0529470529470529,79.0,0.09,0,88.3
69,4.304347826086956,10.985294117647047,152.0,0.0,62002,9,8.817036109652557e-05,4.350086940978512e-09,0.1025641025641025,13.0,0.19,0,75.3
128,4.296875,16.015748031496052,141.0,0.0,22318,1,9.921539921411144e-05,7.779007266857445e-07,0.0303030303030303,46.0,0.07,0,90.9
73,3.041095890410959,16.01388888888889,225.0,0.0,37127,14,0.0003511237041517,3.914134658571712e-17,0.3333333333333333,3.0,0.14,0,81.8
254,3.8897637795275593,7.671936758893276,146.0,0.0,28449,9,0.0002617209046359,3.215439550148186e-08,0.0222222222222222,43.0,0.06,0,92.2
60,4.05,27.8135593220339,296.0,0.0,33415,11,0.0001042929734009,2.2138523812247634e-07,0.0,8.0,0.11,0,85.7
393,4.600508905852418,3.405612244897952,38.0,0.0,43183,12,0.0002183692235489,2.0971464354589183e-05,0.0453900709219858,152.0,0.04,0,94.41832061068702
99,4.151515151515151,10.88775510204081,59.0,0.0,52887,9,9.60869962464069e-05,7.378958965487135e-09,0.038095238095238,15.0,0.07,0,90.9
65,4.092307692307692,18.359375,184.0,0.0,46822,9,0.0001563810640794,3.48315400450773e-09,0.0588235294117647,25.0,0.14,0,81.8
364,4.554945054945055,2.809917355371898,18.0,0.0,54923,12,0.0001761273397075,1.6210379891119065e-06,0.0433162552398695,117.0,0.09,0,86.65164835164836
71,3.9859154929577465,11.428571428571423,454.0,0.0,61865,0,8.040128987732886e-05,1.0571948649012368e-10,0.0,1.0,0.11,0,83.58732394366197
231,4.142857142857143,7.230434782608692,76.0,0.0,26153,12,0.0001723686148897,1.4556889822613964e-05,0.0532110091743119,116.0,0.04,0,93.5012987012987
141,4.340425531914893,16.435714285714283,243.0,0.0,17490,6,0.0001779628573998,2.4007094858479774e-07,0.0738461538461538,29.0,0.05,0,93.5
