n_of_reviews,avg_review_rating,avg_days_between_reviews,max_days_between_reviews,min_days_between_reviews,product_ID,cluster_ID,pagerank,eigenvector_cent,clustering_coef,w_degree,fake_score,fake
157,4.420382165605096,33.429487179487175,550.0,0.0,216,15,0.0005232386645053,7.122395403692098e-06,0.0980573543015726,50.0,0.05,0
339,3.24188790560472,19.16863905325443,367.0,0.0,226,15,0.0007749329159905,1.9992566036833966e-06,0.1400625978090766,87.0,0.06,0
469,3.4840085287846483,13.942307692307685,490.0,0.0,224,15,0.0025082066069141,2.765323220323423e-06,0.1306715063520871,534.0,0.14,0
469,3.4840085287846483,13.942307692307685,490.0,0.0,225,15,0.0025082066069109,2.7653232203266815e-06,0.1306715063520871,534.0,0.14,0
463,3.475161987041037,12.601731601731595,652.0,0.0,246,15,0.0005475192864798,1.457818296570051e-07,0.1072695035460992,55.0,0.07,0
287,4.790940766550523,23.03146853146853,704.0,0.0,213,15,0.0009131069712286,1.987214312650055e-06,0.0686925434116445,99.0,0.09,0
336,4.321428571428571,17.549253731343274,552.0,0.0,260,15,0.0006082100107857,1.6867110126743518e-07,0.1266233766233766,61.0,0.06,0
339,4.398230088495575,17.997041420118332,383.0,0.0,283,15,0.0006856638358272,0.002642741536069,0.0755244755244755,73.0,0.05,0
381,4.191601049868766,17.281578947368413,373.0,0.0,302,15,0.000802729562159,3.653108630616132e-06,0.0669330669330669,82.0,0.05,0
190,4.642105263157895,32.026455026455025,528.0,0.0,305,15,0.0004856704182682,8.739700200557426e-08,0.1546546546546546,47.0,0.08,0
154,4.357142857142857,41.38562091503268,634.0,0.0,313,15,0.0005782324084051,1.1018517733300614e-07,0.0965309200603318,56.0,0.1,0
268,4.514925373134329,14.898876404494375,396.0,0.0,312,15,0.0009435896409225,2.5118007023894333e-07,0.085291113381001,102.0,0.09,0
222,4.490990990990991,18.533936651583705,372.0,0.0,335,15,0.0008938291781791,5.4607693370733636e-06,0.0904255319148936,100.0,0.06,0
274,4.613138686131387,15.161172161172152,359.0,0.0,333,15,0.0011109099687932,2.11155422281662e-06,0.127683615819209,128.0,0.1,0
209,3.401913875598086,21.682692307692303,284.0,0.0,351,15,0.000781287984098,2.0104331260505875e-05,0.1014492753623188,85.0,0.05,0
270,4.7481481481481485,23.37918215613382,629.0,0.0,355,15,0.0009739554066429,2.895203932165186e-06,0.0707726763717805,106.0,0.12,0
374,3.836898395721925,8.951742627345844,415.0,0.0,350,15,0.0009066991563479,6.167101758232966e-06,0.0638406537282941,98.0,0.05,0
169,4.059171597633136,19.19047619047618,574.0,0.0,369,15,0.0004769596996727,8.201478043571015e-08,0.0586932447397563,44.0,0.07,0
183,4.737704918032787,15.087912087912084,664.0,0.0,372,15,0.0004859219174276,9.652581045028214e-07,0.0664451827242525,45.0,0.1,0
197,4.0,19.07653061224489,535.0,0.0,399,15,0.0005762489366186,1.570999418409562e-07,0.0629251700680272,56.0,0.05,0
186,4.327956989247312,22.5945945945946,672.0,0.0,397,15,0.0011675347353428,8.954732192900002e-06,0.082663368377654,131.0,0.09,0
176,4.352272727272728,29.885714285714283,456.0,0.0,425,15,0.0005732458570478,1.125180420766787e-07,0.08,56.0,0.08,0
456,3.651315789473684,12.386813186813184,269.0,0.0,459,15,0.0006232605774021,3.626595536413095e-06,0.0577922077922077,62.0,0.03,0
292,4.5479452054794525,18.16838487972508,387.0,0.0,462,15,0.0006107357977142,7.12248657535232e-06,0.1052631578947368,62.0,0.05,0
338,3.0680473372781063,16.367952522255184,379.0,0.0,476,15,0.0008005476005217,5.421770584396048e-06,0.0792891319207108,83.0,0.06,0
283,4.696113074204947,21.33687943262411,411.0,0.0,486,15,0.0005186051355046,5.341106346788777e-06,0.0863787375415282,49.0,0.06,0
690,4.426086956521739,8.793904208998542,516.0,0.0,499,15,0.0013029340504973,9.041834276508124e-06,0.0763085399449035,144.0,0.14,0
434,4.804147465437788,13.63048498845265,380.0,0.0,513,15,0.0009625027197234,1.981262280148377e-06,0.0711484593837535,104.0,0.09,0
229,3.6550218340611353,25.61403508771929,374.0,0.0,527,15,0.0006126695461173,1.567576693934383e-07,0.1046581972171808,61.0,0.04,0
457,3.4442013129102844,12.87938596491228,431.0,0.0,529,15,0.0005548631964746,8.816185613864395e-06,0.0664893617021276,53.0,0.03,0
199,4.809045226130653,19.69696969696969,308.0,0.0,535,15,0.0007632532564962,7.172300395679113e-06,0.0658295281582952,79.0,0.12,0
577,4.1993067590987865,9.65277777777778,410.0,0.0,553,15,0.0006670975945835,1.2206028745338678e-07,0.0530054644808743,66.0,0.07,0
214,4.224299065420561,26.66197183098592,418.0,0.0,578,15,0.0005687934583037,1.868124488557016e-06,0.070578231292517,55.0,0.03,0
299,4.387959866220736,18.74832214765101,475.0,0.0,615,15,0.0007065103946462,1.0630266143604442e-05,0.0587969244685662,71.0,0.04,0
96,4.78125,55.09473684210526,709.0,0.0,627,15,0.0007260740807342,0.0026454154660028,0.141321044546851,78.0,0.22,0
370,3.6324324324324326,15.701897018970184,289.0,0.0,626,15,0.000825157475698,0.002645493585403,0.1354642313546423,91.0,0.05,0
306,4.19281045751634,17.73770491803278,444.0,0.0,634,15,0.001111032811816,5.500461666480548e-06,0.0622501427755568,121.0,0.07,0
203,4.625615763546798,27.772277227722768,545.0,0.0,646,15,0.0010795512777074,7.343379610935031e-06,0.0903342366757,127.0,0.09,0
246,4.016260162601626,23.46938775510204,536.0,0.0,642,15,0.0023591406657503,3.3608801657468516e-07,0.1376811594202898,372.0,0.22,0
246,4.016260162601626,23.46938775510204,536.0,0.0,645,15,0.0023591406657484,3.360880165814279e-07,0.1376811594202898,372.0,0.22,0
429,4.37995337995338,12.969626168224297,255.0,0.0,657,15,0.0009213625650329,2.3986459262099285e-07,0.0796610169491525,99.0,0.09,0
